COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;CUSTO_UNITARIO_BDI;CUSTO_TOTAL;EMPREITEIRO_VINCULADO;PRANCHA_REFERENCIA;FONTE_PRECO;STATUS;CODIGO_SINAPI;CENTRO_CUSTO
1.4.1;Fôrma de pilares P1 a P24 — seção 30 x 30 cm;Estrutura de concreto armado;m²;0.0;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;NAO_LEVANTADO;;
1.4.1;Fôrma do pilar P1 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P2 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P3 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P4 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P5 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P6 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P7 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P8 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P9 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P10 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P11 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P12 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P13 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P14 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P15 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P16 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P17 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P18 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P19 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P20 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P21 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
1.4.1;Fôrma do pilar P22 — seção 30 x 30 cm;Estrutura de concreto armado;m²;3.576;0.0;0;Engenharia;AÇU-3.DES-2.3100-11-EGS-056 rev.A.pdf;;LEVANTADO;;
